"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","GO:0007264","small GTPase-mediated signal transduction","242/5471","491/18986",0.492871690427699,1.71041160929634,10.1473878760196,2.92094974649916e-22,9.75512964166107e-19,6.75656263391187e-19,"2782/55160/2048/3925/10163/65979/1718/1600/85440/117178/84144/8412/9411/10451/79574/1435/5906/4803/4853/6016/9826/50848/4653/27/23179/23380/7042/58480/5867/440730/57568/10276/57584/94134/3688/8829/221002/58504/9886/3988/51196/23268/8729/403/150/57698/1793/23075/22800/4925/4038/27314/8301/143872/5962/23365/50937/9743/55200/397/2059/3845/121512/5908/4254/440107/3479/83892/9815/283455/221178/90627/10253/5911/10160/23348/22821/253959/57381/26030/26037/440193/23191/10125/11261/84952/51495/5923/11214/55114/9289/25894/79567/1012/29/23108/9423/8844/7126/4763/57636/2064/201176/3675/406991/10672/9267/201475/10928/10982/220164/57139/85360/4650/9710/23094/348/2909/6237/10971/9475/388/25780/10602/6654/57142/55704/9938/10617/9448/50649/55843/390/11069/1123/10787/3685/57679/10152/55619/9290/25791/54453/57186/7052/343578/57580/10564/55816/7074/6453/613/5880/27128/11135/9402/9620/9901/5894/9922/28512/50650/6091/8997/57493/22808/5291/5912/5337/1894/604/9353/399/8615/10144/2247/10252/79658/9693/7204/10769/64283/2149/2150/51735/81848/23092/1452/10146/1794/9750/93663/57480/26230/2768/9265/5879/1124/9844/5898/64759/26053/1278/2056/5294/9732/4233/6009/9639/157285/10395/23362/23221/80005/10565/137735/51571/22898/80728/81704/23189/10507/89846/2203/19/8727/153090/57706/79109/9649/84253/25/2889/7410/395/4983/8473/1121/51209/154796/90167/4168",242
"GO:0031589","GO:0031589","cell-substrate adhesion","191/5471","361/18986",0.529085872576177,1.83608561080813,10.2043851613814,3.0609129719677e-22,9.75512964166107e-19,6.75656263391187e-19,"5590/55966/1307/23499/10420/4070/3491/7412/1435/8394/6281/4653/3915/23380/947/4811/3688/8829/1305/9806/5328/7414/5728/10580/1308/1793/3611/56672/55742/960/51144/5795/7070/83700/7450/5800/5318/8499/59277/23603/5829/9358/2621/4323/84962/22795/10979/87/342184/7057/161497/302/4091/4088/22801/10391/79834/123720/2013/6376/1009/1012/246/4763/1845/3690/8631/3675/1277/3691/596/8174/1613/6370/50509/81/558/6237/57348/9475/5212/5581/11037/51057/84168/9448/3987/10018/10461/57669/23332/3694/3655/3685/8324/2335/182/54453/6789/6385/57580/5770/57091/7074/3689/613/4771/5880/11078/5155/29780/2192/2199/23122/3680/1499/1605/11170/56999/2042/1295/25890/90102/151887/2932/3693/2047/5291/2049/6480/604/683/22998/3791/10855/255743/79625/2244/81792/133584/1601/56477/3673/10085/5921/1946/2241/6695/81848/6239/2651/4739/55604/780/7148/5467/6722/5796/1490/7402/5879/10551/3696/948/9723/1021/8910/5054/136227/3912/4289/285/10395/10174/80005/2185/59339/8754/284/5747/23189/3717/340485/7094/25/5613/395/25975/2824/8573/2316",191
"GO:0051056","GO:0051056","regulation of small GTPase mediated signal transduction","165/5471","300/18986",0.55,1.90866386401024,10.093373525068,1.13590950747316e-21,2.41342906687798e-18,1.67158051731314e-18,"55160/2048/3925/85440/117178/84144/9411/10451/79574/1435/4803/4853/9826/50848/4653/27/23380/7042/58480/440730/57568/10276/57584/94134/3688/8829/221002/58504/23268/8729/23075/4038/8301/143872/5962/23365/50937/9743/55200/397/2059/3845/121512/4254/3479/83892/9815/221178/90627/10253/23348/22821/253959/26030/26037/10125/84952/5923/11214/55114/9289/25894/79567/29/23108/7126/4763/57636/2064/201176/3675/406991/10672/9267/10928/10982/85360/4650/23094/348/2909/6654/57142/9938/10617/9448/50649/55843/1123/3685/57679/55619/9290/25791/57186/7052/343578/57580/10564/7074/6453/613/27128/9901/5894/9922/50650/6091/8997/57493/5291/1894/604/9353/10144/10252/79658/7204/64283/2149/2150/81848/23092/1452/1794/9750/93663/57480/26230/9265/5879/1124/64759/26053/2056/5294/4233/9639/157285/10395/23362/10565/137735/51571/22898/80728/81704/23189/10507/89846/2203/19/153090/57706/79109/9649/84253/25/7410/395/4983/8473/154796/90167/4168",165
"GO:0010975","GO:0010975","regulation of neuron projection development","219/5471","452/18986",0.484513274336283,1.68140541519808,9.32869409079379,3.98297183311058e-19,6.34686561606172e-16,4.39594312317521e-16,"2048/23028/23499/84879/1600/4919/57554/23566/2672/5906/4921/55811/5396/26052/27/23271/5362/7779/4139/440730/2625/57118/7431/8829/6387/22943/22891/818/5728/57698/22876/9024/4076/57689/4038/2011/10938/25987/5058/120114/7070/9638/5800/65981/57609/466/401720/8499/10154/59341/51761/23111/114798/5911/8428/5587/51199/26037/23191/7337/80031/4734/27020/57611/8482/23251/4916/3480/6376/10300/999/9798/5176/5048/9423/5376/9706/2670/7473/3675/26115/10458/23327/6794/5605/348/2909/238/57142/55704/1716/1496/10716/3655/1123/4780/57520/8837/10152/4133/2335/2043/25791/6616/9139/57580/5770/1002/26039/7074/1826/7533/25793/23654/2803/64689/54986/22906/7474/5793/6092/6091/2042/2932/23129/4690/5274/5584/23043/22871/2049/1608/3280/5062/9353/22902/6696/2895/10611/5530/79625/9693/55714/9037/1601/4131/8507/411/7025/1946/23105/6695/1809/81545/347733/84062/154141/780/29993/5754/6722/653/55754/1268/5454/84816/8724/2534/3066/10090/23345/26230/54664/23242/9863/10371/8321/57154/2056/1523/4897/3475/91584/5764/2146/157285/11178/4747/2185/23303/4067/27067/11075/6383/23189/5789/4915/10507/4920/9314/4593/153090/23413/25/2889/84628/6792/11141/1756/80258/407007/10013/80823/5063/57187/90167/2258/4168/2316",219
"GO:0032970","GO:0032970","regulation of actin filament-based process","196/5471","395/18986",0.49620253164557,1.72197062069508,9.22565756522789,1.14393021190508e-18,1.45828223413659e-15,1.01003017025892e-15,"2475/55160/55616/57822/3925/10163/4070/163782/5142/2702/6281/55243/477/50848/5999/55811/4653/27/25802/134/6262/6840/8829/6387/29119/120/23075/5058/5962/85458/83700/775/2059/93661/5318/51474/488/11113/5829/10810/5587/1073/122786/10979/6710/51466/23191/7082/342184/29767/29766/84952/7168/4088/10391/123720/11214/55114/6376/23406/246/2314/57551/85464/3690/406991/54828/3759/10458/4089/1265/1613/85415/64857/7040/7408/2909/9475/81553/375189/10602/130271/5581/6711/55704/5341/119/7840/6869/1496/9168/8440/3552/23332/274/9839/390/129446/10787/23671/10152/25791/8195/11034/51126/85366/3055/343578/6385/57580/4771/4627/11135/57026/11078/9620/23122/406929/7134/11170/2042/90102/4690/5217/26084/1894/5062/1739/118/9948/683/9353/22998/5156/57482/2044/287/817/27236/9037/5144/10788/2150/5921/1946/2241/89848/64411/1436/5159/11346/26999/4739/1906/55604/5350/93663/1490/51429/5071/6624/5879/85477/5898/2006/6717/10142/55971/857/4233/442721/136319/6522/9639/10395/10174/6781/2185/10565/27067/9788/51571/23189/7046/2934/6709/25/395/7114/2824/5063/154796/10178/90167/2258/2316",196
"GO:0007409","GO:0007409","axonogenesis","220/5471","459/18986",0.479302832244009,1.66332362876709,9.15292477476884,1.65323819430286e-18,1.75629004174774e-15,1.21643526086074e-15,"1889/2048/3925/23499/1907/1600/85440/91624/23566/4853/4009/55811/59352/23114/5362/55740/2625/3799/3688/8829/56288/6387/5592/288/1959/84665/219699/7414/5728/9211/57698/9024/57689/4038/5795/2011/25987/5058/8301/53942/4684/1813/7070/54538/9638/5800/144165/4753/57609/10154/59277/51761/9201/23111/114798/84189/51062/51199/26037/8650/9369/23768/51466/23191/80031/27023/57611/8482/25942/10509/3480/6477/1009/25894/999/9798/5048/9423/9706/2064/7473/4884/10458/5797/10939/494470/4089/596/6794/5605/10501/1785/348/7408/2909/6868/10890/9637/6654/9378/57142/1496/3800/10716/1123/65059/8828/8609/1385/4133/2335/2043/2637/6616/23767/85449/9334/84612/1002/351/7074/1826/104/6285/23654/27255/23122/2803/11280/22906/885/3913/1605/7474/6092/6091/2042/214/91653/2596/2932/54437/8997/23129/2047/2049/5062/9353/323/7345/2044/22902/6696/658/8633/1909/23022/9037/7204/133418/345651/4131/2297/64283/1946/57556/23105/1436/26999/6586/347733/1906/5754/6722/5454/2534/3908/10090/26230/5879/2115/729920/2737/107/23242/26053/10512/9723/10371/223117/1749/57154/4897/3475/5803/91584/6469/4747/23303/137970/4147/2131/5747/4781/4915/10507/5727/9355/25/84628/6792/170302/8239/4693/10013/4983/5063/2258/4168/84631",220
"GO:0007015","GO:0007015","actin filament organization","222/5471","465/18986",0.47741935483871,1.65678740101768,9.12325275464743,2.06543703465542e-18,1.88072795127052e-15,1.3026229959917e-15,"2475/55160/55616/3925/10163/10487/4070/163782/1266/6281/55243/8407/50848/5999/4653/25802/55740/58480/56776/10529/10006/6840/94134/8829/6387/9886/9124/10580/120/57698/23075/9645/55761/5058/5962/2059/93661/51474/5074/283431/23603/59341/5829/144347/10810/81624/283/1073/10979/57381/6710/87/51466/64423/23191/7082/342184/29767/29766/4644/84952/4643/7168/4088/10391/123720/8826/2013/55114/6376/23406/4641/246/8522/2314/7126/85464/4642/406991/10458/56907/9050/4645/596/1265/4542/1785/85415/64857/7408/2909/9475/81553/388/375189/10602/130271/5581/6711/55704/5341/9938/119/7840/6869/1496/9168/8440/10096/23332/274/9839/390/57471/129446/7456/10787/4430/23671/10152/8195/11034/3055/343578/6385/57580/57553/4771/5880/11135/57026/11078/23122/406929/11170/90102/3693/7018/4690/5357/5217/7401/5584/5062/1739/118/9948/9353/399/22998/57482/22902/57619/27236/2195/9037/10788/2150/5921/2241/134549/1729/89848/1809/133522/11346/26999/4739/10486/55604/29993/6722/64780/4082/93663/1490/51429/5071/6624/5879/85477/9844/23242/2006/3092/55607/55971/4233/442721/8976/800/136319/9639/10395/10174/55909/23221/2185/10565/9788/51571/5339/23189/3717/7046/2934/6709/25/83543/395/7114/30011/10013/57477/54857/1730/5063/154796/5358/10178/90167/2316",222
"GO:0010810","GO:0010810","regulation of cell-substrate adhesion","124/5471","223/18986",0.556053811659193,1.92967239410737,8.88509059720099,3.9403262716905e-17,3.13945495696941e-14,2.17443794519342e-14,"5590/55966/1307/23499/4070/3491/1435/6281/4653/4811/8829/9806/5328/7414/5728/1793/3611/51144/5795/7070/5800/5318/23603/4323/10979/342184/7057/4088/10391/79834/2013/6376/1012/246/4763/1845/3690/8631/3675/1277/596/1613/6370/81/6237/9475/5212/5581/51057/9448/3987/57669/23332/3655/8324/2335/182/54453/6789/6385/57580/5770/57091/4771/5880/11078/5155/2192/2199/23122/1605/11170/2042/1295/25890/90102/151887/2932/5291/6480/604/683/22998/3791/255743/79625/2244/133584/1601/56477/10085/5921/1946/6695/81848/6239/2651/4739/55604/780/7402/5879/10551/948/9723/1021/5054/136227/285/10395/80005/2185/59339/5747/23189/3717/340485/7094/25/395/25975/2824/8573/2316",124
"GO:0002009","GO:0002009","morphogenesis of an epithelium","225/5471","500/18986",0.45,1.56163407055383,8.09743753673207,5.23558254989523e-15,3.56691857424762e-12,2.47050625078766e-12,"6497/55966/5293/2475/1969/57822/25932/65979/7075/4070/3491/1435/7482/4853/5087/92344/7042/6262/55083/2625/94134/3688/8829/219736/4838/7414/9231/79812/5728/84445/8945/977/9024/3611/9645/960/4041/26005/5058/10413/79864/81029/7289/3845/144165/401720/10818/8549/59277/317/84678/90627/341640/10253/4323/84962/3169/10979/4522/64398/55727/51676/342184/2252/8854/4088/10116/1512/79191/80004/123872/55625/5048/9423/9955/9953/6928/5914/3690/1747/406991/9496/10672/9021/284217/80000/4089/596/5268/10653/7040/634/7408/2909/6868/130497/388/10890/6654/10736/51057/7849/57669/23332/7852/90/4036/3685/23671/2066/3488/2043/2637/26146/7053/8195/182/23767/7052/6789/6385/6615/57167/1522/54101/3976/57591/9620/23654/7048/23122/1499/29072/1605/7474/27086/200894/90102/3693/55764/23129/8626/4976/3280/1739/9948/57545/9353/3516/3791/80144/5311/255743/51176/1950/2247/10252/27152/1909/7424/2195/170690/81792/10468/2297/4208/26249/1839/2246/2908/1436/1482/94234/6239/1906/3400/780/5754/6722/8521/653/2697/84870/54806/64065/10370/25902/2099/25928/5898/2737/23242/1956/10512/9723/4233/51384/5420/6469/10395/6591/9420/23213/6788/79977/8323/115908/2131/9788/4609/5727/2304/9314/3371/9355/25/1289/5613/4478/367/4983/186/2719/7547/2316",225
"GO:0032956","GO:0032956","regulation of actin cytoskeleton organization","170/5471","352/18986",0.482954545454545,1.67599616157924,8.14503864532235,5.59604420183184e-15,3.56691857424762e-12,2.47050625078766e-12,"2475/55160/55616/57822/3925/10163/4070/163782/6281/55243/50848/5999/4653/27/25802/6840/8829/6387/120/23075/5058/5962/85458/83700/2059/93661/51474/11113/5829/10810/5587/1073/10979/6710/51466/23191/7082/342184/29767/29766/84952/7168/4088/10391/123720/11214/55114/6376/23406/246/2314/57551/85464/3690/406991/54828/10458/4089/1613/85415/64857/7040/7408/2909/9475/81553/375189/10602/130271/5581/6711/55704/5341/119/7840/6869/1496/9168/8440/3552/23332/274/390/129446/10787/23671/10152/25791/8195/11034/51126/3055/343578/6385/57580/4771/11135/57026/11078/9620/23122/406929/11170/2042/90102/4690/5217/26084/1894/5062/1739/118/9948/683/9353/22998/5156/57482/2044/27236/9037/10788/2150/5921/1946/2241/89848/64411/1436/5159/11346/26999/4739/1906/55604/93663/1490/51429/5071/6624/5879/85477/5898/2006/55971/4233/442721/136319/6522/9639/10395/10174/2185/10565/27067/9788/51571/23189/7046/2934/6709/25/395/7114/2824/5063/154796/10178/90167/2316",170
"GO:0031346","GO:0031346","positive regulation of cell projection organization","174/5471","363/18986",0.479338842975207,1.66344859673319,8.12019397608546,6.45841979172541e-15,3.74236070476889e-12,2.59202034511927e-12,"2475/2048/23028/10163/23499/4919/57554/23566/79574/5906/4921/55811/26052/27/5362/7779/440730/57118/8829/6387/51196/57698/4076/2011/10938/9638/2059/65981/466/23426/10154/23603/5027/8100/51761/114798/8428/5587/51199/23191/51762/27020/57611/8482/4916/3480/9727/6376/10300/9798/5176/5048/9423/7473/3675/406991/10801/10458/6794/5605/348/2909/238/10602/55704/10096/3655/4780/10787/2660/8837/10152/2335/2043/9139/23613/1002/26039/7074/1826/5880/11135/23654/2803/22906/7474/6092/6091/2042/2932/23129/4690/7401/5274/5584/22871/3064/202018/9353/22902/79625/9693/2823/55714/9037/3673/4131/8507/2150/411/1946/324/153241/1809/81545/57451/347733/6239/4739/9750/55604/780/29993/5754/6722/653/55754/1268/8724/2534/26230/6624/5879/54664/989/54443/5898/23242/26053/9863/8321/57154/2056/1523/8976/91584/5764/2146/4747/2185/6101/4067/27067/11075/50807/5789/158297/4915/10507/4920/7046/4593/153090/25/2889/6792/11141/1756/407007/10013/80823/10178/90167/2316",174
"GO:0043062","GO:0043062","extracellular structure organization","164/5471","340/18986",0.482352941176471,1.67390841549561,7.97770791119331,1.94134678323134e-14,1.03117869969305e-11,7.14211263936162e-12,"10218/1307/1296/7075/3491/255631/1301/54507/1520/25903/4921/1805/5768/3915/23127/83872/1999/26254/7042/4811/3688/1305/140766/9806/5033/7093/84171/1308/619552/51144/283208/871/4316/9313/4317/4319/4314/4322/23187/11095/170689/144165/59277/1284/2621/4323/1215/1511/22795/89932/29954/23768/256764/102/4643/302/4088/79875/4016/11173/57188/170691/81577/170692/83716/84627/4763/79148/2670/3690/1277/56155/406991/284217/4089/5268/50509/79709/10653/8425/7040/2068/7837/5212/84168/23332/1803/2191/8837/1285/55959/351/9510/861/80781/1291/9215/2192/5468/23122/3913/1605/56999/1295/25890/50939/90102/151887/5352/323/5156/9508/255743/79625/59350/7092/170690/81792/133584/3673/11174/4015/7045/406937/285590/84830/780/7148/1302/1310/1297/1303/3908/6624/3569/2006/1278/3912/858/857/7982/5644/5645/10049/55790/649/4017/23213/4147/2131/7373/169044/92949/8434/1515/1306/7046/85301/169611/25/1289/25975/2824/1288",164
"GO:0001822","GO:0001822","kidney development","157/5471","322/18986",0.487577639751553,1.69203967616944,7.96869492074292,2.2048178664069e-14,1.0425392837688e-11,7.22079790617532e-12,"3399/10269/4070/7482/3158/4853/3570/5087/947/1063/7042/4811/55083/2625/8829/80114/84159/8879/9231/1592/51196/84445/403/2674/3611/847/4038/23279/8772/282679/10413/79659/80310/7704/84623/5800/23371/317/8100/341640/342184/2200/8854/4643/9245/4091/4088/64220/1512/8826/84662/79191/5176/9955/9953/4763/6928/5914/3690/3675/23210/80000/4087/4092/4089/596/7040/130497/6382/10736/51057/56603/10018/7849/4036/8837/2066/2043/1285/26146/182/171023/6385/55959/9510/1312/3976/5155/5915/1499/3913/7474/6092/23129/25937/4311/25976/3280/1739/7466/57545/8842/9353/5156/80144/5311/5530/255743/2028/2247/10252/4086/1909/170690/10409/25836/11174/79810/2297/4208/4090/26249/2246/5159/654/1906/84062/6659/5754/7021/6492/639/10758/54806/168667/2737/9863/5420/231/2146/6469/285/23213/392255/284/2131/9788/4609/5125/2650/5727/203286/7046/445/5613/186/2719",157
"GO:0043087","GO:0043087","regulation of GTPase activity","106/5471","193/18986",0.549222797927461,1.90596674126316,8.04865821280339,2.28985722823395e-14,1.0425392837688e-11,7.22079790617532e-12,"1969/55616/3925/85440/84144/7813/8412/10451/5906/8394/6281/85397/5996/163486/23380/25782/7107/6000/10276/9712/3688/5592/22841/143872/5962/7070/65125/121512/23329/55785/23603/23143/23348/253959/10979/26037/9628/10125/5923/4916/55114/79567/29/9905/4763/10928/10982/115704/85360/8853/9448/3987/8502/3655/1123/55854/57679/2043/55619/25791/23677/57186/7052/7074/613/5905/23654/7474/2042/2932/1894/2049/2044/10563/9693/112574/2149/2150/1946/51735/64411/51256/9750/4594/26230/51429/23161/1124/858/4233/2146/9639/10565/50807/5747/81704/4915/10507/89846/55357/153090/23637/2889/7410/395/6792",106
"GO:0050807","GO:0050807","regulation of synapse organization","153/5471","312/18986",0.490384615384615,1.70178071791122,7.95226207549622,2.56946960834006e-14,1.09185328557064e-11,7.56235476307243e-12,"22883/2048/1600/653464/647135/2213/26052/23380/7779/4139/54583/57512/94134/3799/3688/58504/22943/9231/1793/4076/4038/22941/387804/1813/2904/5800/65981/144165/347902/7846/8825/8499/10154/9201/114798/84189/5911/10160/26037/23768/23191/7337/2252/4734/102/8482/58489/8128/1006/5048/9423/4763/10882/26115/10672/91107/10458/1000/348/1760/94030/388/9378/57142/1496/85461/10152/8828/2043/55619/25791/116987/5621/6616/23767/79953/22839/23613/5770/351/7074/57026/5021/1499/1605/55799/7474/6092/25945/152404/2047/22871/1981/2049/3556/55752/5783/8404/6622/2895/10611/23657/2823/4131/9456/4208/1946/3360/6678/26999/4739/84062/10486/203068/266727/7162/2534/9844/8321/4897/54674/9732/8976/11178/4747/2185/27067/7534/50807/27161/5789/158038/4915/10507/4920/4593/153090/25/84628/57502/9758/6792/11141/56850/8473/27286/80823/26280/5063/154796/2239/84631/4204",153
"GO:0030198","GO:0030198","extracellular matrix organization","163/5471","339/18986",0.480825958702065,1.66860933136856,7.903117343431,3.30443734026521e-14,1.24637801101681e-11,8.63261833138658e-12,"10218/1307/1296/7075/3491/255631/1301/54507/1520/25903/4921/1805/5768/3915/23127/83872/1999/26254/7042/4811/3688/1305/140766/9806/5033/7093/84171/1308/619552/51144/283208/871/4316/9313/4317/4319/4314/4322/23187/11095/170689/144165/59277/1284/2621/4323/1215/1511/22795/89932/29954/23768/256764/102/4643/302/4088/79875/4016/11173/57188/170691/81577/170692/83716/84627/4763/79148/2670/3690/1277/406991/284217/4089/5268/50509/79709/10653/8425/7040/2068/7837/5212/84168/23332/1803/2191/8837/1285/55959/351/9510/861/80781/1291/9215/2192/5468/23122/3913/1605/56999/1295/25890/50939/90102/151887/5352/323/5156/9508/255743/79625/59350/7092/170690/81792/133584/3673/11174/4015/7045/406937/285590/84830/780/7148/1302/1310/1297/1303/3908/6624/3569/2006/1278/3912/858/857/7982/5644/5645/10049/55790/649/4017/23213/4147/2131/7373/169044/92949/8434/1515/1306/7046/85301/169611/25/1289/25975/2824/1288",163
